# BTCUSDT 1h  source=file-cache  n=8760
# from=2025-07-31T21:00:00.000Z  to=2026-07-31T20:00:00.000Z
timestamp	date	open	high	low	close	volume
1778504400000	2026-05-11T13:00:00.000Z	81054.65	81332.29	80739.63	81072	767.39683
1778508000000	2026-05-11T14:00:00.000Z	81072.01	81252.72	80462.97	80953.38	767.64104
1778511600000	2026-05-11T15:00:00.000Z	80953.39	81458	80826.02	81445.9	647.30001
1778515200000	2026-05-11T16:00:00.000Z	81445.89	81910.35	81344.72	81575.85	1113.46844
1778518800000	2026-05-11T17:00:00.000Z	81575.84	82071.77	81369.42	81941.09	565.28919
1778522400000	2026-05-11T18:00:00.000Z	81941.09	82137.26	81836.15	81858.96	536.09834
1778526000000	2026-05-11T19:00:00.000Z	81858.97	82091.11	81739.09	81961.99	458.6097
1778529600000	2026-05-11T20:00:00.000Z	81961.99	82078.91	81758.5	81821.02	322.40099
1778533200000	2026-05-11T21:00:00.000Z	81821.03	81906.35	81600	81821.18	268.82965
1778536800000	2026-05-11T22:00:00.000Z	81821.18	81969.99	81729.99	81833.92	366.43361
1778540400000	2026-05-11T23:00:00.000Z	81833.92	81833.92	81596.31	81745.65	278.04936
1778544000000	2026-05-12T00:00:00.000Z	81745.66	81788	81478.75	81545.2	419.66559
1778547600000	2026-05-12T01:00:00.000Z	81545.2	81615.67	80714.28	81199.18	866.00547
1778551200000	2026-05-12T02:00:00.000Z	81199.18	81332.29	81087.63	81249.93	386.77691
1778554800000	2026-05-12T03:00:00.000Z	81249.93	81294.42	81024.41	81058.8	187.87319
1778558400000	2026-05-12T04:00:00.000Z	81058.79	81303.99	81000	81240.01	398.28206
1778562000000	2026-05-12T05:00:00.000Z	81240.01	81305.24	81181.56	81224.03	329.93857
1778565600000	2026-05-12T06:00:00.000Z	81224.04	81300	81010.01	81022.44	448.36294
1778569200000	2026-05-12T07:00:00.000Z	81022.44	81137.27	80800.77	80865.4	603.31882
1778572800000	2026-05-12T08:00:00.000Z	80865.4	80964.13	80760.53	80843.31	478.61372
1778576400000	2026-05-12T09:00:00.000Z	80843.3	80963.35	80720	80837.15	506.71585
1778580000000	2026-05-12T10:00:00.000Z	80837.15	80848.27	80601.27	80666.37	487.71377
1778583600000	2026-05-12T11:00:00.000Z	80666.38	80785.38	80496.57	80784.87	500.02112
1778587200000	2026-05-12T12:00:00.000Z	80784.86	80999	80619.19	80881.26	585.87948
